;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
100790595;  Týbbi ve Aromatik Bitkiler;2;TYT;30;1;;1;;;1555421;255.66044;;
;Kumluca Meslek Yüksekokulu;;;;;;;;;;;;
100751318;  Bahçe Tarýmý;2;TYT;40;1;;1;;;1542464;256.41876;;
100750947;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1446011;262.15750;;
100750895;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1380870;266.13444;;
100750505;  Seracýlýk;2;TYT;40;1;;1;;;1693965;247.63639;;
;Manavgat Meslek Yüksekokulu;;;;;;;;;;;;
100750674;  Aþçýlýk;2;TYT;60;2;;2;;;618956;323.61635;;
100751178;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;561608;329.88976;;
100790317;  Çocuk Geliþimi;2;TYT;40;1;;1;;;847775;302.76794;;
100790420;  Gýda Teknolojisi;2;TYT;35;1;;1;;;1035258;288.70783;;
100750956;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1315880;270.16225;;
100750902;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1243002;274.78179;;
100790416;  Organik Tarým;2;TYT;40;1;;1;;;1532629;256.99642;;
100750708;  Pazarlama;2;TYT;40;1;;1;;;1386981;265.76472;;
100750541;  Turizm ve Otel Ýþletmeciliði;2;TYT;30;1;;1;;;979860;292.67771;;
